Designator,Mid X,Mid Y,Rotation,Layer
C1,174.498,-73.914,180.0,top
C2,174.458,-76.708,180.0,top
C3,184.912,-71.162,270.0,top
C4,183.388,-71.12,270.0,top
CN4,179.75,-70.612,180.0,bottom
CN5,175.304,-76.668,90.0,bottom
CN6,184.076,-76.82,270.0,bottom
Q1,185.166,-67.31,270.0,top
Q2,180.086,-72.39,90.0,top
Q3,185.674,-74.93,0.0,top
Q4,174.498,-80.248,90.0,top
R1,185.42,-80.264,180.0,top
R2,174.764,-71.628,0.0,top
R3,174.593732,-67.495144,0.0,top
R4,174.752,-69.656,0.0,top
R5,180.086,-75.438,180.0,top
R6,186.182,-78.486,0.0,top
R7,185.42,-82.042,180.0,top
U1,179.832,-67.564,0.0,top
U2,180.07,-80.114,90.0,top
